Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,58,8,Some Random Commen with Id 0
1,0,3,167,0,Some Random Commen with Id 1
2,0,3,177,8,Some Random Commen with Id 2
3,0,3,137,8,Some Random Commen with Id 3
4,1,9,166,7,Some Random Commen with Id 4
5,1,9,43,4,Some Random Commen with Id 5
6,1,9,157,0,Some Random Commen with Id 6
7,3,9,1,1,Some Random Commen with Id 7
8,3,9,93,8,Some Random Commen with Id 8
9,3,9,169,0,Some Random Commen with Id 9
10,3,9,6,3,Some Random Commen with Id 10
11,3,9,54,6,Some Random Commen with Id 11
12,3,9,112,6,Some Random Commen with Id 12
13,3,9,13,4,Some Random Commen with Id 13
14,3,9,64,6,Some Random Commen with Id 14
15,4,4,81,9,Some Random Commen with Id 15
16,4,4,173,5,Some Random Commen with Id 16
17,4,4,171,6,Some Random Commen with Id 17
18,4,4,78,8,Some Random Commen with Id 18
19,4,4,197,4,Some Random Commen with Id 19
20,4,4,32,9,Some Random Commen with Id 20
21,4,4,59,7,Some Random Commen with Id 21
22,4,4,112,2,Some Random Commen with Id 22
23,4,4,59,9,Some Random Commen with Id 23
24,5,2,25,9,Some Random Commen with Id 24
25,5,2,20,0,Some Random Commen with Id 25
26,5,2,10,8,Some Random Commen with Id 26
27,6,5,53,3,Some Random Commen with Id 27
28,6,5,160,6,Some Random Commen with Id 28
29,6,5,53,1,Some Random Commen with Id 29
30,6,5,84,8,Some Random Commen with Id 30
31,6,5,156,0,Some Random Commen with Id 31
32,6,5,145,5,Some Random Commen with Id 32
33,7,0,144,8,Some Random Commen with Id 33
34,8,1,39,5,Some Random Commen with Id 34
35,8,1,182,3,Some Random Commen with Id 35
36,8,1,103,7,Some Random Commen with Id 36
37,8,1,41,6,Some Random Commen with Id 37
38,8,1,100,3,Some Random Commen with Id 38
39,8,1,66,6,Some Random Commen with Id 39
40,8,1,94,5,Some Random Commen with Id 40
41,8,1,177,2,Some Random Commen with Id 41
42,9,9,73,3,Some Random Commen with Id 42
43,9,9,49,8,Some Random Commen with Id 43
44,9,9,61,2,Some Random Commen with Id 44
45,10,9,119,1,Some Random Commen with Id 45
46,11,9,187,2,Some Random Commen with Id 46
47,12,4,91,0,Some Random Commen with Id 47
48,12,4,50,2,Some Random Commen with Id 48
49,12,4,132,1,Some Random Commen with Id 49
50,12,4,129,4,Some Random Commen with Id 50
51,12,4,165,0,Some Random Commen with Id 51
52,12,4,59,6,Some Random Commen with Id 52
53,12,4,135,1,Some Random Commen with Id 53
54,12,4,32,2,Some Random Commen with Id 54
55,13,4,41,6,Some Random Commen with Id 55
56,14,2,12,0,Some Random Commen with Id 56
57,14,2,40,6,Some Random Commen with Id 57
58,14,2,171,4,Some Random Commen with Id 58
59,14,2,1,8,Some Random Commen with Id 59
60,14,2,166,4,Some Random Commen with Id 60
61,14,2,93,0,Some Random Commen with Id 61
62,14,2,129,4,Some Random Commen with Id 62
63,15,4,48,9,Some Random Commen with Id 63
64,15,4,182,4,Some Random Commen with Id 64
65,15,4,174,6,Some Random Commen with Id 65
66,15,4,125,9,Some Random Commen with Id 66
67,15,4,165,6,Some Random Commen with Id 67
68,15,4,102,1,Some Random Commen with Id 68
69,15,4,72,8,Some Random Commen with Id 69
70,16,1,157,4,Some Random Commen with Id 70
71,17,6,198,7,Some Random Commen with Id 71
72,17,6,192,2,Some Random Commen with Id 72
73,17,6,78,6,Some Random Commen with Id 73
74,17,6,89,5,Some Random Commen with Id 74
75,17,6,0,4,Some Random Commen with Id 75
76,17,6,167,9,Some Random Commen with Id 76
77,17,6,99,1,Some Random Commen with Id 77
78,18,6,147,5,Some Random Commen with Id 78
79,18,6,150,1,Some Random Commen with Id 79
80,18,6,89,2,Some Random Commen with Id 80
81,18,6,56,3,Some Random Commen with Id 81
82,19,6,24,3,Some Random Commen with Id 82
83,19,6,133,3,Some Random Commen with Id 83
