Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,14,7,Some Random Commen with Id 0
1,0,8,61,4,Some Random Commen with Id 1
2,0,8,57,2,Some Random Commen with Id 2
3,0,8,196,5,Some Random Commen with Id 3
4,0,8,110,0,Some Random Commen with Id 4
5,0,8,100,8,Some Random Commen with Id 5
6,2,8,62,6,Some Random Commen with Id 6
7,2,8,102,9,Some Random Commen with Id 7
8,2,8,96,7,Some Random Commen with Id 8
9,2,8,174,4,Some Random Commen with Id 9
10,2,8,6,8,Some Random Commen with Id 10
11,2,8,8,8,Some Random Commen with Id 11
12,2,8,58,9,Some Random Commen with Id 12
13,2,8,119,3,Some Random Commen with Id 13
14,5,4,130,9,Some Random Commen with Id 14
15,6,5,6,5,Some Random Commen with Id 15
16,6,5,85,2,Some Random Commen with Id 16
17,6,5,31,9,Some Random Commen with Id 17
18,7,6,191,8,Some Random Commen with Id 18
19,7,6,89,6,Some Random Commen with Id 19
20,7,6,4,0,Some Random Commen with Id 20
21,7,6,2,9,Some Random Commen with Id 21
22,7,6,35,1,Some Random Commen with Id 22
23,7,6,10,9,Some Random Commen with Id 23
24,7,6,128,0,Some Random Commen with Id 24
25,7,6,78,2,Some Random Commen with Id 25
26,7,6,89,5,Some Random Commen with Id 26
27,8,8,34,4,Some Random Commen with Id 27
28,8,8,119,1,Some Random Commen with Id 28
29,8,8,148,5,Some Random Commen with Id 29
30,8,8,145,1,Some Random Commen with Id 30
31,9,2,96,5,Some Random Commen with Id 31
32,9,2,197,8,Some Random Commen with Id 32
33,9,2,145,8,Some Random Commen with Id 33
34,9,2,39,3,Some Random Commen with Id 34
35,9,2,105,5,Some Random Commen with Id 35
36,9,2,44,3,Some Random Commen with Id 36
37,9,2,19,2,Some Random Commen with Id 37
38,9,2,181,0,Some Random Commen with Id 38
39,10,3,71,4,Some Random Commen with Id 39
40,11,3,81,6,Some Random Commen with Id 40
41,12,6,120,8,Some Random Commen with Id 41
42,12,6,48,2,Some Random Commen with Id 42
43,12,6,148,9,Some Random Commen with Id 43
44,12,6,65,4,Some Random Commen with Id 44
45,14,3,67,5,Some Random Commen with Id 45
46,14,3,8,2,Some Random Commen with Id 46
47,14,3,101,2,Some Random Commen with Id 47
48,14,3,40,0,Some Random Commen with Id 48
49,14,3,109,0,Some Random Commen with Id 49
50,14,3,161,9,Some Random Commen with Id 50
51,15,6,180,3,Some Random Commen with Id 51
52,16,8,110,0,Some Random Commen with Id 52
53,16,8,183,4,Some Random Commen with Id 53
54,16,8,156,6,Some Random Commen with Id 54
55,16,8,117,3,Some Random Commen with Id 55
56,16,8,117,6,Some Random Commen with Id 56
57,16,8,68,3,Some Random Commen with Id 57
58,17,0,107,6,Some Random Commen with Id 58
59,17,0,163,2,Some Random Commen with Id 59
60,17,0,43,3,Some Random Commen with Id 60
61,17,0,117,0,Some Random Commen with Id 61
62,17,0,146,0,Some Random Commen with Id 62
63,17,0,92,9,Some Random Commen with Id 63
64,17,0,163,5,Some Random Commen with Id 64
65,18,4,170,2,Some Random Commen with Id 65
66,18,4,177,4,Some Random Commen with Id 66
67,18,4,149,0,Some Random Commen with Id 67
68,18,4,155,1,Some Random Commen with Id 68
69,18,4,95,4,Some Random Commen with Id 69
70,18,4,159,0,Some Random Commen with Id 70
71,18,4,134,1,Some Random Commen with Id 71
72,18,4,86,4,Some Random Commen with Id 72
73,18,4,124,0,Some Random Commen with Id 73
74,19,2,194,7,Some Random Commen with Id 74
75,19,2,175,4,Some Random Commen with Id 75
76,19,2,144,5,Some Random Commen with Id 76
77,19,2,79,3,Some Random Commen with Id 77
78,19,2,146,9,Some Random Commen with Id 78
79,21,5,61,0,Some Random Commen with Id 79
80,21,5,71,8,Some Random Commen with Id 80
81,21,5,1,3,Some Random Commen with Id 81
82,21,5,123,2,Some Random Commen with Id 82
83,21,5,36,3,Some Random Commen with Id 83
84,21,5,12,7,Some Random Commen with Id 84
85,21,5,59,1,Some Random Commen with Id 85
